objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67615891,93559511.0002469,71707.4075227013
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.5446701,53888581.6124342,43840.8665608236
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56752014,244820282.117054,97993.3910122914
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55691147,204962233.083279,119581.595543308
5,E06000005,Darlington, ,428029,515649,-1.56834996,54.5353508,197475687.800562,107206.401693943
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33423996,79084033.7253487,77771.106894392
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39162827,180627988.910432,114690.891219932
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137022078.053173,65284.9927535037
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.8216095,34851505.9599518,34940.0407731734
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979065,71449804.5821713,64387.3336767624
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88122177,2406491187.79288,505424.507597465
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52336121,191863775.605382,86544.624038603
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58644867,846296607.206212,241106.75898424
14,E06000014,York, ,460864,452589,-1.07375002,53.96582031,271936983.748432,101957.577301945
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91463852,78031123.3409046,50037.747756246
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63592148,73342074.9919601,51932.0062305591
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66764832,393748910.414217,125885.1960914
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.9541893,74613562.6312785,58724.2325992684
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08153915,2179709445.3573,349889.421286463
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71416855,290313548.622944,118780.050360348
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707077,93448486.401263,63974.5865098115
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35604095,351123211.797271,141684.811213316
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47114944,109700128.520879,109722.788796189
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39707184,374639658.140116,153769.993932414
25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54671097,496947069.465182,143123.787854358
26,E06000026,Plymouth, ,249944,58255,-4.1129899,50.40494156,79830126.7311226,94432.6974110482
27,E06000027,Torbay, ,289730,64608,-3.5552299,50.4708786,62890840.7340942,78680.16043552
28,E06000028,Bournemouth, ,410069,93928,-1.85863996,50.7448616,46178054.0735543,48619.722816184
29,E06000029,Poole, ,403393,93466,-1.95326996,50.74077988,64767769.8047848,73803.2301118543
30,E06000030,Swindon, ,418551,186564,-1.73367,51.57762909,230093376.657045,103014.901385672
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921402,343378153.433858,112678.098853044
32,E06000032,Luton, ,508606,222559,-0.42319,51.89102173,43352491.5868701,34569.6599400242
33,E06000033,Southend-on-Sea, ,587776,186833,0.70690602,51.54914093,41755608.4929727,43367.3958517514
34,E06000034,Thurrock, ,562126,181586,0.33490199,51.5099411,163493496.658521,94113.7424350046
35,E06000035,Medway, ,578207,175196,0.563173,51.44770813,193540410.086792,189674.427538839
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.41130066,109384211.957083,62508.0897550096
37,E06000037,West Berkshire, ,450575,172095,-1.27364004,51.44559097,704169402.814146,166802.025613068
38,E06000038,Reading, ,470226,173154,-0.99071002,51.45301819,40397990.8378414,39330.8302163327
39,E06000039,Slough, ,498920,179246,-0.57617003,51.50350189,32542008.6568542,44181.3812233295
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.48033905,198427174.867189,114829.436258328
41,E06000041,Wokingham, ,476624,169902,-0.89934999,51.42295837,178965478.072504,86865.898894541
42,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.07241058,308626787.889785,102960.571371493
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079001,50.84648895,82785268.3004688,59061.9014243384
44,E06000044,Portsmouth, ,465607,101357,-1.07023001,50.80804825,40364178.0178534,60863.4465902133
45,E06000045,Southampton, ,442253,113608,-1.40024996,50.92037964,49900869.6398366,58966.9537448408
46,E06000046,Isle of Wight, ,447186,85950,-1.33361995,50.67129898,380164380.192474,192524.784973151
47,E06000047,County Durham, ,410381,532242,-1.8405,54.68513107,2231542403.79393,315238.123029153
48,E06000049,Cheshire East, ,380510,363462,-2.29298997,53.1679306,1166357384.20236,301225.374671517
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298004,53.1633606,916700550.975905,307827.795151878
50,E06000051,Shropshire, ,350227,302960,-2.73667002,52.6221199,3197275380.22495,580650.670930537
51,E06000052,Cornwall, ,212501,64494,-4.64248991,50.45022964,3549500869.06069,1198961.871748
52,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.92332077,16337568.6057766,116312.015592222
53,E06000054,Wiltshire, ,405209,158863,-1.92660999,51.32883072,3255338121.93964,402006.934402718
54,E06000055,Bedford, ,505721,256463,-0.45462999,52.19628143,476408299.03285,131721.247617078
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.99903107,715665296.048444,232692.706405214
56,E06000057,Northumberland, ,395323,600699,-2.07521009,55.30036926,5026214904.86044,584228.777194671
57,E07000004,Aylesbury Vale, ,477330,223021,-0.87746,51.90037918,902753229.008418,243091.846283443
58,E07000005,Chiltern, ,495432,198692,-0.62111998,51.67890167,196348230.428514,87262.6853472275
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.55944061,141275608.653208,85473.9021256427
60,E07000007,Wycombe, ,482477,197052,-0.80883002,51.66619873,324572078.972729,113202.003280148
61,E07000008,Cambridge, ,545420,257901,0.126436,52.20016861,40698796.3912176,37170.4518489631
62,E07000009,East Cambridgeshire, ,555577,275765,0.28316301,52.35787964,651279308.430673,234016.186178496
63,E07000010,Fenland, ,536361,294959,0.009016,52.53543854,546450053.415616,187882.165880433
64,E07000011,Huntingdonshire, ,521010,274271,-0.22466999,52.35316849,912458404.509207,223626.365770816
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.1080513,901627228.556872,257042.838239728
66,E07000026,Allerdale, ,317516,532995,-3.28096008,54.68523026,1257798806.13498,332949.235686707
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19975996,54.15737152,77978671.4813143,120465.275270737
68,E07000028,Carlisle, ,348444,565195,-2.80704999,54.97867966,1039297856.10171,274825.221700924
69,E07000029,Copeland, ,310871,508741,-3.37664008,54.46619034,737613562.310238,233223.336716971
70,E07000030,Eden, ,359636,526396,-2.62678003,54.63106918,2156474483.05896,268725.322212352
71,E07000031,South Lakeland, ,349265,489554,-2.78108001,54.29906845,1553032014.8635,384091.377148326
72,E07000032,Amber Valley, ,436166,348084,-1.46219003,53.02883911,265437866.988533,109036.53476337
73,E07000033,Bolsover, ,448666,371548,-1.27227998,53.23875046,160334648.472601,96239.2115062488
74,E07000034,Chesterfield, ,440049,373359,-1.40114999,53.25574875,66035288.7338207,52617.7485842464
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711005,53.1232605,795318061.465424,245475.852181075
76,E07000036,Erewash, ,443721,338063,-1.35090005,52.9382019,109630047.007559,73547.5560135631
77,E07000037,High Peak, ,410474,387660,-1.84397995,53.38568878,540253996.811175,159632.960092736
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253004,53.16242981,275623527.221405,161243.876540254
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.82492065,338128983.644931,166772.645936618
80,E07000040,East Devon, ,313775,96055,-3.22380996,50.75764847,814361626.966055,218255.094628916
81,E07000041,Exeter, ,293236,92003,-3.51372004,50.71780014,47042953.4083691,47533.9597324923
82,E07000042,Mid Devon, ,288064,108911,-3.59211993,50.86882019,912897718.380257,246408.84668192
83,E07000043,North Devon, ,265110,132524,-3.92690992,51.07612991,1086031787.05561,305486.073219484
84,E07000044,South Hams, ,270677,54033,-3.81994009,50.37192154,886484968.806885,464363.171686378
85,E07000045,Teignbridge, ,283069,80251,-3.65395999,50.61019897,673892714.098984,187845.756836494
86,E07000046,Torridge, ,244206,114405,-4.21730995,50.90802002,985356188.483163,313693.398387298
87,E07000047,West Devon, ,256379,86998,-4.03356981,50.66487885,1161094497.22335,246745.881823894
88,E07000048,Christchurch, ,413093,96313,-1.81570005,50.76625061,50375654.6229426,64049.9750424017
89,E07000049,East Dorset, ,401685,109966,-1.97739995,50.8891716,354417948.984279,138644.687339585
90,E07000050,North Dorset, ,381794,113407,-2.26037002,50.91981888,609217912.752657,158747.423443987
91,E07000051,Purbeck, ,391183,88321,-2.12617993,50.69445038,404412420.319374,218720.765993619
92,E07000052,West Dorset, ,357765,99663,-2.60061002,50.79497147,1081528617.16252,286934.06863848
93,E07000053,Weymouth and Portland, ,368175,81510,-2.45133996,50.63240051,41777984.3867268,72412.4950781368
94,E07000061,Eastbourne, ,559351,99605,0.258699,50.77413177,44159462.2401454,35287.0740479855
95,E07000062,Hastings, ,581599,110745,0.57942897,50.8676796,29724298.9413359,33473.5235695512
96,E07000063,Lewes, ,541474,105685,0.007671,50.83340836,292064213.407694,167745.122075504
97,E07000064,Rother, ,578730,119663,0.543064,50.94868088,511745166.324549,177389.836439113
98,E07000065,Wealden, ,555048,117173,0.205153,50.93315887,834998443.784593,225322.228052018
99,E07000066,Basildon, ,571548,190848,0.47505501,51.59035873,110025282.644892,72081.0439821928
100,E07000067,Braintree, ,577253,227335,0.57591099,51.91633987,611707971.852755,168686.507388567
101,E07000068,Brentwood, ,558560,196070,0.29009101,51.64107895,153124047.088089,72339.5123753532
102,E07000069,Castle Point, ,579490,187921,0.58808398,51.56159973,45070490.7255105,68031.2392117801
103,E07000070,Chelmsford, ,572115,206972,0.49116299,51.73503113,342251393.534809,124434.97732149
104,E07000071,Colchester, ,596944,223692,0.85977602,51.87701035,333184996.210991,204996.656186235
105,E07000072,Epping Forest, ,548919,203758,0.154147,51.71279144,338984128.711677,123273.20725269
106,E07000073,Harlow, ,545276,209589,0.103888,51.76613998,30537915.5514919,28515.4723688448
107,E07000074,Maldon, ,591460,212199,0.773857,51.77571106,358679810.488402,336117.617927671
108,E07000075,Rochford, ,585981,191420,0.68347299,51.59093094,169495487.180604,179170.096926384
109,E07000076,Tendring, ,614203,222163,1.10918295,51.85692978,337736722.624879,227453.588099009
110,E07000077,Uttlesford, ,557832,228865,0.294485,51.93592072,641182808.479708,166508.498731541
111,E07000078,Cheltenham, ,394925,222232,-2.07515001,51.89860916,46596068.3252942,38231.05763852
112,E07000079,Cotswold, ,402125,208209,-1.97059,51.77254868,1164524416.76127,332445.317306129
113,E07000080,Forest of Dean, ,367175,212759,-2.47755003,51.81248856,526293440.140792,188642.048228466
114,E07000081,Gloucester, ,384071,216449,-2.23263001,51.84640884,40553087.5588773,33546.2933653287
115,E07000082,Stroud, ,378806,202410,-2.30819988,51.72000885,460650080.78172,172430.210843592
116,E07000083,Tewkesbury, ,386347,226279,-2.19998002,51.93484879,414414325.271209,204835.891324765
117,E07000084,Basingstoke and Deane, ,454508,151423,-1.22020996,51.2593689,633817171.811328,143437.366528138
118,E07000085,East Hampshire, ,474404,129237,-0.93971002,51.05765152,514432073.604232,144540.789183251
119,E07000086,Eastleigh, ,447202,116802,-1.32942998,50.94871902,79764223.9447418,74041.0848745825
120,E07000087,Fareham, ,453774,106324,-1.23741996,50.85393143,74239163.2247278,65036.4207125219
121,E07000088,Gosport, ,458773,101094,-1.16725004,50.80641174,25358122.261677,38330.0902752193
122,E07000089,Hart, ,477985,154240,-0.88321,51.28197098,215265081.971947,77847.8024579669
123,E07000090,Havant, ,470177,108563,-1.00399995,50.87229919,55372990.6503117,95966.5760934081
124,E07000091,New Forest, ,428999,106521,-1.58936,50.85747147,753040100.482782,267188.379404855
125,E07000092,Rushmoor, ,486022,153944,-0.76806998,51.27814865,39045039.3959082,31893.0046086483
126,E07000093,Test Valley, ,434930,137329,-1.50214005,51.13417053,627590329.806515,189027.630285397
127,E07000094,Winchester, ,453115,125901,-1.24392998,51.03002167,660974522.923469,172255.480996597
128,E07000095,Broxbourne, ,534742,204251,-0.05073,51.72079849,51442302.9678962,39068.7520084733
129,E07000096,Dacorum, ,500084,208745,-0.55097997,51.76845169,212476401.707708,110103.817520212
130,E07000098,Hertsmere, ,519774,199352,-0.26899001,51.68016815,101128160.993231,61228.1498940603
131,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.95737839,375382311.774429,168316.828787109
132,E07000102,Three Rivers, ,507313,196418,-0.45005,51.65631866,88824171.1430247,74112.6139624164
133,E07000103,Watford, ,510441,198197,-0.40428999,51.67169952,21430351.4769087,26392.3405123479
134,E07000105,Ashford, ,597640,140644,0.82337397,51.13095856,580617298.268884,149446.515906745
135,E07000106,Canterbury, ,616026,158096,1.09625697,51.28102875,308883626.034918,131969.152704841
136,E07000107,Dartford, ,556167,172917,0.245276,51.43373108,72764007.8524635,56215.6016827085
137,E07000108,Dover, ,628967,150940,1.27692902,51.21173859,315066065.258374,139293.044685299
138,E07000109,Gravesham, ,566969,169115,0.39874399,51.39649963,99020166.4168034,60505.2984233874
139,E07000110,Maidstone, ,580489,151670,0.58406103,51.23566055,393332659.93374,122946.646096219
140,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27563095,370346869.345968,134435.499238548
141,E07000112,Shepway, ,610318,134597,1.00079596,51.07215118,356764729.215805,148352.691937008
142,E07000113,Swale, ,593761,161976,0.77952999,51.32387161,374466765.800291,252595.001773783
143,E07000114,Thanet, ,631844,166753,1.32829797,51.35253143,103338979.366164,56839.1235537176
144,E07000115,Tonbridge and Malling, ,564014,153898,0.34930599,51.26063919,240125396.293006,133528.576817458
145,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10253906,331328863.812491,150590.443629095
146,E07000117,Burnley, ,384886,430882,-2.23079991,53.7740593,110683999.219203,57764.5797466095
147,E07000118,Chorley, ,359189,419724,-2.61921,53.67240143,202796541.335988,102881.273132263
148,E07000119,Fylde, ,339562,433812,-2.91901994,53.79710007,165770477.34511,105571.199429892
149,E07000120,Hyndburn, ,374407,428971,-2.38964009,53.75648117,72997476.8914185,42655.4998957298
150,E07000121,Lancaster, ,356896,464988,-2.66030002,54.07901001,576217409.667995,322523.343774131
151,E07000122,Pendle, ,387637,443368,-2.18956995,53.88636017,169380093.613351,79243.7836108447
152,E07000123,Preston, ,352820,436429,-2.71816993,53.82199097,142293663.354281,79082.7164760275
153,E07000124,Ribble Valley, ,372687,447676,-2.41739988,53.92449951,584471489.388695,150500.052467903
154,E07000125,Rossendale, ,382827,420955,-2.26149011,53.68478012,138040909.350899,71149.8219036994
155,E07000126,South Ribble, ,352016,425840,-2.72872996,53.72674942,112955570.637963,94375.0449942921
156,E07000127,West Lancashire, ,342611,413268,-2.8689301,53.61280823,346783945.262464,156001.044534631
